Partner,Instagram,New App Launch?,Months Since Launch,Estimated Launch Date,To Date Total Revenue,Current Subs,To Date Stripe Unique Subs,To Date Estimated Total Unique Subs,Total Unique Subs Percentile,Unique Subs Amount Rating,US Rating 1,US Rating 2,US Rating 3,Rev per Unique Sub,Percentile of Rev per Unique Sub,Rev per Sub Ranking,RS Rating 1,RS Rating 2,RS Rating 3,To Date Rev Percentile,To Date Rev Percentile Rating,R Rating 1,R Rating 2,R Rating 3,Max Subs,Max Sub Percentile,Max Sub Ranking,S Rating 1,S Rating 2,S Rating 3,Rev at Max Subs,Month of Max Subs,Max Sub Preak Month Percentile,Growth Percentile Ranking,G Rating 1,G Rating 2,G Rating 3,Stripe %,Apple %,Google %,Monthly %,Quarterly %,Yearly %,Subs at Month 3,Rev at Month 3,Subs at Month 8,Rev at Month 8,Subs at Month 13,Rev at Month 13,Subs at Month 18,Rev at Month 18,Subs at Month 24,Rev at Month 24
Noelle Benepe,noellebenepe,1,3,3/29/22," $148,564.21 ",2349,2528,5848,74%,US2,0,1,0, $25.40 ,3%,RS1,1,0,0,49%,R2,0,1,0,2957,85%,S3,0,0,1," $57,993.64 ",1,0%,G1,1,0,0,76%,24%,0%,77%,0%,23%,2349," $148,564.21 ",0, $-   ,0, $-   ,0, $-   ,0, $-   
PMEO,erinoprea,0,29,1/28/20," $3,977,144.74 ",14025,21508,56395,100%,US3,0,0,1, $70.52 ,56%,RS2,0,1,0,100%,R3,0,0,1,20930,100%,S3,0,0,1," $2,189,580.05 ",15,77%,G3,0,0,1,62%,36%,2%,22%,0%,78%,10605," $518,185.61 ",16193," $1,029,684.55 ",17173," $1,724,334.58 ",18220," $2,525,551.55 ",18291," $3,333,635.03 "
SRV Society,frantzcesca.casimir,0,7,11/27/21," $19,348.42 ",181,313,715,26%,US2,0,1,0, $27.03 ,5%,RS1,1,0,0,13%,R1,1,0,0,235,18%,S1,1,0,0," $4,623.27 ",1,0%,G1,1,0,0,78%,22%,0%,67%,0%,33%,213," $9,748.01 ",0, $-   ,0, $-   ,0, $-   ,0, $-   
Sugary Sixpack,sugarysixpack,0,53,1/27/18," $153,322.07 ",4,146,454,15%,US1,1,0,0, $337.35 ,100%,RS3,0,0,1,51%,R2,0,1,0,803,44%,S2,0,1,0," $61,012.42 ",11,62%,G2,0,1,0,47%,47%,6%,27%,25%,48%,486," $14,473.79 ",744," $41,287.63 ",716," $75,518.68 ",580," $98,327.18 ",517," $120,265.34 "
Tianna Gregory,tiannag,0,48,6/28/18," $57,833.01 ",51,392,1012,33%,US2,0,1,0, $57.11 ,31%,RS2,0,1,0,31%,R2,0,1,0,398,33%,S2,0,1,0," $21,308.34 ",6,36%,G2,0,1,0,63%,37%,0%,48%,15%,36%,389," $12,938.68 ",339," $25,558.01 ",249," $34,464.42 ",207," $39,904.76 ",234," $48,195.02 "
Train With Janna,jannabreslin,0,44,10/28/18," $19,070.90 ",17,195,431,13%,US1,1,0,0, $44.17 ,13%,RS1,1,0,0,10%,R1,1,0,0,131,5%,S1,1,0,0," $5,653.09 ",4,23%,G1,1,0,0,82%,18%,0%,14%,19%,68%,117," $4,208.87 ",127," $8,594.61 ",117," $12,482.45 ",99," $15,839.55 ",76," $16,995.44 "
Train With Joan,trainwithjoan,0,10,8/28/21," $716,512.99 ",5699,4433,11196,92%,US3,0,0,1, $63.99 ,44%,RS2,0,1,0,90%,R3,0,0,1,5803,97%,S3,0,0,1," $680,217.02 ",8,44%,G2,0,1,0,66%,34%,0%,18%,0%,82%,4303," $423,485.75 ",5803," $680,217.02 ",0, $-   ,0, $-   ,0, $-   
Train With Lyzabeth,lyzabethlopez,0,57,9/27/17," $949,792.55 ",1500,4450,13717,95%,US3,0,0,1, $69.23 ,54%,RS2,0,1,0,92%,R3,0,0,1,3593,92%,S3,0,0,1," $620,965.50 ",32,95%,G3,0,0,1,48%,46%,6%,59%,19%,22%,2818," $48,650.19 ",3376," $188,226.35 ",3182," $314,410.78 ",2427," $426,729.14 ",1868," $506,574.33 "
Train With Tanya,tanyapoppett,0,38,4/29/19," $44,681.35 ",80,357,858,31%,US2,0,1,0, $52.03 ,26%,RS2,0,1,0,26%,R2,0,1,0,257,21%,S1,1,0,0," $21,981.53 ",13,69%,G2,0,1,0,71%,29%,0%,20%,27%,53%,145," $5,979.76 ",164," $11,411.41 ",257," $21,981.53 ",189," $29,003.37 ",167," $35,187.34 "
Workouts By Gabriel,gabrielabandy,0,59,7/29/17," $458,106.12 ",618,2497,7668,82%,US3,0,0,1, $59.74 ,36%,RS2,0,1,0,79%,R3,0,0,1,1799,64%,S2,0,1,0," $335,004.09 ",35,97%,G3,0,0,1,48%,50%,1%,61%,24%,15%,943," $18,688.05 ",1099," $72,042.36 ",1504," $137,586.94 ",1194," $197,184.76 ",1100," $258,043.87 "
Yarisha Fitness,yarishna,0,33,9/28/19," $15,730.45 ",12,35,160,0%,US1,1,0,0, $97.98 ,85%,RS3,0,0,1,3%,R1,1,0,0,155,8%,S1,1,0,0," $4,325.29 ",3,8%,G1,1,0,0,28%,72%,0%,49%,25%,27%,155," $4,325.29 ",94," $9,437.84 ",51," $11,457.16 ",33," $13,201.54 ",27," $14,625.85 "
Austin and Julian,juliandaigre,0,48,6/28/18," $15,275.96 ",9,71,216,3%,US1,1,0,0, $70.68 ,59%,RS2,0,1,0,0%,R1,1,0,0,106,0%,S1,1,0,0," $4,408.86 ",4,23%,G1,1,0,0,49%,51%,0%,27%,33%,40%,99," $3,144.55 ",80," $7,638.47 ",67," $9,892.31 ",50," $11,801.14 ",39," $13,116.82 "
ZBody,zoelivelovelift,0,49,5/29/18," $1,033,467.85 ",1099,3282,9829,90%,US3,0,0,1, $105.13 ,95%,RS3,0,0,1,95%,R3,0,0,1,3120,90%,S3,0,0,1," $736,026.81 ",27,87%,G3,0,0,1,50%,41%,9%,31%,33%,36%,2125," $87,761.50 ",2683," $235,956.67 ",2830," $384,780.82 ",2525," $503,105.94 ",3013," $646,608.67 "
